138	NM_001317184	chr16	+	68771192	68869445	68771318	68867402	15	68771192,68772199,68835572,68842326,68842595,68844099,68845586,68846037,68849417,68853182,68855903,68857301,68862076,68863556,68867192,	68771366,68772314,68835796,68842470,68842751,68844244,68845762,68846166,68849662,68853328,68856128,68857529,68862207,68863700,68869445,	0	CDH1	cmpl	cmpl	0,0,1,0,0,0,1,0,0,2,1,1,1,0,0,
102	NM_004015	chrX	-	31137344	31285024	31140035	31284946	18	31137344,31144758,31152218,31164407,31165391,31187559,31190464,31191655,31196048,31196785,31198486,31200854,31222077,31224698,31227614,31241163,31279071,31284926,	31140047,31144790,31152311,31164531,31165635,31187718,31190530,31191721,31196087,31196922,31198598,31201021,31222235,31224784,31227816,31241238,31279133,31285024,	0	DMD	cmpl	cmpl	0,1,1,0,2,2,2,2,2,0,2,0,1,2,1,1,2,0,
78	NM_000535	chr7	-	6010555	6048737	6013029	6048650	15	6010555,6017218,6018226,6022454,6026389,6029430,6031603,6035164,6036956,6038738,6042083,6043320,6043602,6045522,6048627,	6013173,6017388,6018327,6022622,6027251,6029586,6031688,6035264,6037054,6038906,6042267,6043423,6043689,6045662,6048737,	0	PMS2	cmpl	cmpl	0,1,2,2,1,1,0,2,0,0,2,1,1,2,0,
12	NM_004009	chrX	-	31137344	33146545	31140035	33146282	79	31137344,31144758,31152218,31164407,31165391,31187559,31190464,31191655,31196048,31196785,31198486,31200854,31222077,31224698,31227614,31241163,31279071,31341714,31366672,31462597,31496222,31497099,31514904,31525397,31645789,31676106,31697491,31747747,31792076,31838091,31854834,31893307,31947712,31950196,31986455,32235032,32305645,32328198,32360216,32361250,32364059,32366522,32380904,32382698,32383136,32398626,32404426,32407617,32408187,32429868,32456357,32459296,32466572,32472778,32481555,32482702,32486614,32490280,32503035,32509393,32519871,32536124,32563275,32583818,32591646,32591861,32613873,32632419,32662248,32663080,32715986,32717228,32827609,32834584,32841411,32862899,32867844,33038255,33146263,	31140047,31144790,31152311,31164531,31165635,31187718,31190530,31191721,31196087,31196922,31198598,31201021,31222235,31224784,31227816,31241238,31279133,31341775,31366751,31462744,31496491,31497220,31515061,31525570,31645979,31676261,31697703,31747865,31792309,31838200,31854939,31893490,31947862,31950344,31986631,32235180,32305818,32328393,32360399,32361403,32364197,32366645,32381075,32382827,32383316,32398797,32404582,32407791,32408298,32430030,32456507,32459431,32466755,32472949,32481711,32482816,32486827,32490426,32503216,32509635,32519959,32536248,32563451,32583998,32591754,32591963,32613993,32632570,32662430,32663269,32716115,32717410,32827728,32834757,32841504,32862977,32867937,33038317,33146545,	0	DMD	cmpl	cmpl	0,1,1,0,2,2,2,2,2,0,2,0,1,2,1,1,2,1,0,0,1,0,2,0,2,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,
934	NM_001048174	chr1	-	45794913	45805629	45794977	45800177	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805570,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799233,45800183,45805629,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,
934	NM_001293191	chr1	-	45794913	45805629	45794977	45800177	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805570,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799266,45800183,45805629,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,
934	NM_001293195	chr1	-	45794913	45805629	45794977	45800177	17	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45804178,45805570,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799233,45800183,45804328,45805629,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,-1,
934	NM_001048172	chr1	-	45794913	45805787	45794977	45800177	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805647,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799236,45800183,45805787,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,
934	NM_001048173	chr1	-	45794913	45805787	45794977	45800177	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805647,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799233,45800183,45805787,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,
934	NM_001293196	chr1	-	45794913	45805788	45794977	45798984	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805647,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799169,45800183,45805788,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,-1,-1,-1,
